Publishing Hour,Total per Hour of Day,Percentage of videos per Hour of the Day
0,2,1.550387596899225
1,4,3.10077519379845
2,1,0.7751937984496124
3,1,0.7751937984496124
4,9,6.976744186046512
5,1,0.7751937984496124
6,1,0.7751937984496124
7,4,3.10077519379845
8,1,0.7751937984496124
9,4,3.10077519379845
10,3,2.3255813953488373
11,2,1.550387596899225
12,15,11.627906976744185
13,8,6.2015503875969
14,9,6.976744186046512
15,8,6.2015503875969
16,13,10.077519379844961
17,9,6.976744186046512
18,5,3.875968992248062
19,9,6.976744186046512
20,4,3.10077519379845
21,8,6.2015503875969
22,5,3.875968992248062
23,3,2.3255813953488373
